symbol;title;sector;subsector
AES;AES Corp;Utilities;Electric Utilities
AEP;American Electric Power;Utilities;Electric Utilities
DUK;Duke Energy;Utilities;Electric Utilities
ETR;Entergy Corp.;Utilities;Electric Utilities
GAS;AGL Resources Inc.;Utilities;Gas Utilities
TEG;Integrys Energy Group Inc.;Utilities;Gas Utilities
AEE;Ameren Corp;Utilities;Multi-Utilities & Unregulated Power
CNP;CenterPoint Energy;Utilities;Multi-Utilities & Unregulated Power
CMS;CMS Energy;Utilities;Multi-Utilities & Unregulated Power
ED;Consolidated Edison;Utilities;Multi-Utilities & Unregulated Power
D;Dominion Resources;Utilities;Multi-Utilities & Unregulated Power
DTE;DTE Energy Co.;Utilities;Multi-Utilities & Unregulated Power
EIX;Edison Int'l;Utilities;Multi-Utilities & Unregulated Power
ES;Eversource Energy;Utilities;Multi-Utilities & Unregulated Power
EXC;Exelon Corp.;Utilities;Multi-Utilities & Unregulated Power
FE;FirstEnergy Corp;Utilities;Multi-Utilities & Unregulated Power
NEE;NextEra Energy;Utilities;Multi-Utilities & Unregulated Power
NI;NiSource Inc.;Utilities;Multi-Utilities & Unregulated Power
NRG;NRG Energy;Utilities;Multi-Utilities & Unregulated Power
PCG;P G & E Corp.;Utilities;Multi-Utilities & Unregulated Power
POM;Pepco Holdings Inc.;Utilities;Multi-Utilities & Unregulated Power
PNW;Pinnacle West Capital;Utilities;Multi-Utilities & Unregulated Power
PPL;PPL Corp.;Utilities;Multi-Utilities & Unregulated Power
PEG;Public Serv. Enterprise Inc.;Utilities;Multi-Utilities & Unregulated Power
SCG;SCANA Corp;Utilities;Multi-Utilities & Unregulated Power
SRE;Sempra Energy;Utilities;Multi-Utilities & Unregulated Power
SO;Southern Co.;Utilities;Multi-Utilities & Unregulated Power
TE;TECO Energy;Utilities;Multi-Utilities & Unregulated Power
WEC;Wisconsin Energy Corporation;Utilities;Multi-Utilities & Unregulated Power
XEL;Xcel Energy Inc;Utilities;Multi-Utilities & Unregulated Power
